Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:2gscB6kDOmrv1P6qs2KXE3,5df547c9f7ed41278698daa1917fdd24,2022-11-24T02:47:09Z,5,,2bfbcc13a47c4b0e8f5978b95a2fad65
spotify:track:7tRKpjlxvOcdi85DmP638d,5df547c9f7ed41278698daa1917fdd24,2022-11-24T02:47:09Z,5,,2bfbcc13a47c4b0e8f5978b95a2fad65
spotify:track:00IrSynHsun7DpDrLkRIjM,b35ca5c6db16440d948b0a50d6f02803,2022-11-24T02:52:54Z,1,,2bfbcc13a47c4b0e8f5978b95a2fad65
spotify:track:2gscB6kDOmrv1P6qs2KXE3,b35ca5c6db16440d948b0a50d6f02803,2022-11-24T02:52:54Z,1,,2bfbcc13a47c4b0e8f5978b95a2fad65
spotify:track:3iwsyTZzOWHZbHffBEyi1N,b35ca5c6db16440d948b0a50d6f02803,2022-11-24T02:52:54Z,1,,2bfbcc13a47c4b0e8f5978b95a2fad65
spotify:track:4agp6oHofabdUedr0B1krj,b35ca5c6db16440d948b0a50d6f02803,2022-11-24T02:52:54Z,3,,2bfbcc13a47c4b0e8f5978b95a2fad65
spotify:track:4vzOMLsOzZIGZb6MdnmhUV,b35ca5c6db16440d948b0a50d6f02803,2022-11-24T02:52:54Z,1,,2bfbcc13a47c4b0e8f5978b95a2fad65
spotify:track:6CbeOOrDFQuY1tXYscKqZQ,b35ca5c6db16440d948b0a50d6f02803,2022-11-24T02:52:54Z,2,,2bfbcc13a47c4b0e8f5978b95a2fad65
spotify:track:7j2Bmzpnf6RwEWEQ2sv8Ho,b35ca5c6db16440d948b0a50d6f02803,2022-11-24T02:52:54Z,1,,2bfbcc13a47c4b0e8f5978b95a2fad65
spotify:track:00IrSynHsun7DpDrLkRIjM,bdd60b40c4ca4c78a0cbf518560cd06c,2022-11-24T02:54:32Z,3,Hey! This is still a great song!,2bfbcc13a47c4b0e8f5978b95a2fad65
spotify:track:3iwsyTZzOWHZbHffBEyi1N,bdd60b40c4ca4c78a0cbf518560cd06c,2022-11-24T02:54:32Z,1,,2bfbcc13a47c4b0e8f5978b95a2fad65
spotify:track:4agp6oHofabdUedr0B1krj,bdd60b40c4ca4c78a0cbf518560cd06c,2022-11-24T02:54:32Z,3,Yikes,2bfbcc13a47c4b0e8f5978b95a2fad65
spotify:track:6CbeOOrDFQuY1tXYscKqZQ,bdd60b40c4ca4c78a0cbf518560cd06c,2022-11-24T02:54:32Z,1,"Everyone likes Dave Grohl, but no one likes the Foo Fighters",2bfbcc13a47c4b0e8f5978b95a2fad65
