Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0f1a35ZvjSHvNGRqWIzh9J,7bacef1749b6413995f69a98ea5c5692,2024-01-27T04:22:07Z,5,"I like this one. It could definitely fit in, since it gives a good driving vibe.",88cfdc7dea214617b903921445f8e06d
spotify:track:0jJr8xz3ZZzNM9vq5kpMqf,7bacef1749b6413995f69a98ea5c5692,2024-01-27T04:22:07Z,6,"Super cute, I love it. I could see myself falling off of every turn here...",88cfdc7dea214617b903921445f8e06d
spotify:track:0n1r0U8DiEcO0ekbPN5jQM,7bacef1749b6413995f69a98ea5c5692,2024-01-27T04:22:07Z,3,"The song is neat, a bit slow paced but I could see it. Although the song is family friendly, the description is not... I totally forgot about CupcakKe...",88cfdc7dea214617b903921445f8e06d
spotify:track:0XvwcZyQdPcPNFBMbIqkN1,7bacef1749b6413995f69a98ea5c5692,2024-01-27T04:22:07Z,1,"I could see a chill beach track, although the singing and lyrics don't fit the Mariokart vibe.",88cfdc7dea214617b903921445f8e06d
spotify:track:2zYzyRzz6pRmhPzyfMEC8s,7bacef1749b6413995f69a98ea5c5692,2024-01-27T04:22:07Z,0,"Interesting take, but unfortunately this does not sound like a Mariokart song to me.",88cfdc7dea214617b903921445f8e06d
spotify:track:4Nm1WuaXkTq1vT5YLSNVxh,7bacef1749b6413995f69a98ea5c5692,2024-01-27T04:22:07Z,0,The album cover fits rainbow road more than the song haha. The singing doesnt really fit the MK vibe though.,88cfdc7dea214617b903921445f8e06d
spotify:track:4nWDAlLa5FZPWRoMZijVRH,7bacef1749b6413995f69a98ea5c5692,2024-01-27T04:22:07Z,3,"Hmmmm I could see it. It sounds kind of spooky, like it could be in a Haunted Mansion track. Maybe without the singing though. I like the Music Park idea too. Good take!",88cfdc7dea214617b903921445f8e06d
spotify:track:5LYMamLv12UPbemOaTPyeV,7bacef1749b6413995f69a98ea5c5692,2024-01-27T04:22:07Z,2,"Love Harry but I'm not sure. It's pretty slow paced. I could see a beach, but the singing and rhythm changes don't fit. The initial melody and horns though, I can see.",88cfdc7dea214617b903921445f8e06d
spotify:track:5y2gJVH1AZsfnCON14NF3H,7bacef1749b6413995f69a98ea5c5692,2024-01-27T04:22:07Z,6,"Nails the prompt. Love the addition of the florescent bumpers, haha, I can totally see it. I wanna vroom around Roku city to this 🚗",88cfdc7dea214617b903921445f8e06d
spotify:track:6muaqhrGvRop2JyxjwWHhX,7bacef1749b6413995f69a98ea5c5692,2024-01-27T04:22:07Z,4,"Agreed about it kicking in, but I definitely dig the end and think it would fit in a spooky map.",88cfdc7dea214617b903921445f8e06d
spotify:track:0f1a35ZvjSHvNGRqWIzh9J,fd4c3b50daf548ffa16be6f215d5b883,2024-01-27T15:05:20Z,3,This is extremely mario kart coded from the off hahaha its giving me final lap anxiety,88cfdc7dea214617b903921445f8e06d
spotify:track:0jJr8xz3ZZzNM9vq5kpMqf,fd4c3b50daf548ffa16be6f215d5b883,2024-01-27T15:05:20Z,5,Yes!!! Great choice hahaha sounds like a Peach or Daisy track for sure. It even has an underwater part! And feels like the right length for a race too,88cfdc7dea214617b903921445f8e06d
spotify:track:0n1r0U8DiEcO0ekbPN5jQM,fd4c3b50daf548ffa16be6f215d5b883,2024-01-27T15:05:20Z,3,Another good anxiety inducing race song. I'm seeing this as one of the highway tracks with lots of neon,88cfdc7dea214617b903921445f8e06d
spotify:track:0XvwcZyQdPcPNFBMbIqkN1,fd4c3b50daf548ffa16be6f215d5b883,2024-01-27T15:05:20Z,2,Pure beach track,88cfdc7dea214617b903921445f8e06d
spotify:track:2zYzyRzz6pRmhPzyfMEC8s,fd4c3b50daf548ffa16be6f215d5b883,2024-01-27T15:05:20Z,0,Do we actually need to go through the whole never submit ACDC in front of me thing again? Why do you hate me?,88cfdc7dea214617b903921445f8e06d
spotify:track:4Nm1WuaXkTq1vT5YLSNVxh,fd4c3b50daf548ffa16be6f215d5b883,2024-01-27T15:05:20Z,2,Good track matching,88cfdc7dea214617b903921445f8e06d
spotify:track:4nWDAlLa5FZPWRoMZijVRH,fd4c3b50daf548ffa16be6f215d5b883,2024-01-27T15:05:20Z,4,Excellent description and choice here,88cfdc7dea214617b903921445f8e06d
spotify:track:5y2gJVH1AZsfnCON14NF3H,fd4c3b50daf548ffa16be6f215d5b883,2024-01-27T15:05:20Z,6,I can picture this track so clearly to match along with the song and what you've described,88cfdc7dea214617b903921445f8e06d
spotify:track:6muaqhrGvRop2JyxjwWHhX,fd4c3b50daf548ffa16be6f215d5b883,2024-01-27T15:05:20Z,3,I kinda see this ya - I'm picturing dry dry ruins with the pokeys,88cfdc7dea214617b903921445f8e06d
spotify:track:7BGZ27yeaKR5OZOIxyegZi,fd4c3b50daf548ffa16be6f215d5b883,2024-01-27T15:05:20Z,2,Is this a bit of a cop-out to pick a song from another game? I totally agree with the vibe though,88cfdc7dea214617b903921445f8e06d
spotify:track:0f1a35ZvjSHvNGRqWIzh9J,1dacffd0545140b2970d73e29fe6cf33,2024-01-27T17:52:03Z,3,,88cfdc7dea214617b903921445f8e06d
spotify:track:0jJr8xz3ZZzNM9vq5kpMqf,1dacffd0545140b2970d73e29fe6cf33,2024-01-27T17:52:03Z,3,,88cfdc7dea214617b903921445f8e06d
spotify:track:0n1r0U8DiEcO0ekbPN5jQM,1dacffd0545140b2970d73e29fe6cf33,2024-01-27T17:52:03Z,1,,88cfdc7dea214617b903921445f8e06d
spotify:track:0XvwcZyQdPcPNFBMbIqkN1,1dacffd0545140b2970d73e29fe6cf33,2024-01-27T17:52:03Z,4,,88cfdc7dea214617b903921445f8e06d
spotify:track:2zYzyRzz6pRmhPzyfMEC8s,1dacffd0545140b2970d73e29fe6cf33,2024-01-27T17:52:03Z,6,Fuck it. I love this idea,88cfdc7dea214617b903921445f8e06d
spotify:track:4nWDAlLa5FZPWRoMZijVRH,1dacffd0545140b2970d73e29fe6cf33,2024-01-27T17:52:03Z,3,,88cfdc7dea214617b903921445f8e06d
spotify:track:5LYMamLv12UPbemOaTPyeV,1dacffd0545140b2970d73e29fe6cf33,2024-01-27T17:52:03Z,1,,88cfdc7dea214617b903921445f8e06d
spotify:track:5y2gJVH1AZsfnCON14NF3H,1dacffd0545140b2970d73e29fe6cf33,2024-01-27T17:52:03Z,2,,88cfdc7dea214617b903921445f8e06d
spotify:track:6muaqhrGvRop2JyxjwWHhX,1dacffd0545140b2970d73e29fe6cf33,2024-01-27T17:52:03Z,5,,88cfdc7dea214617b903921445f8e06d
spotify:track:7BGZ27yeaKR5OZOIxyegZi,1dacffd0545140b2970d73e29fe6cf33,2024-01-27T17:52:03Z,2,,88cfdc7dea214617b903921445f8e06d
spotify:track:0f1a35ZvjSHvNGRqWIzh9J,e305e2cab85b4f929234bfdf98d6c6d0,2024-01-27T18:36:11Z,5,,88cfdc7dea214617b903921445f8e06d
spotify:track:0jJr8xz3ZZzNM9vq5kpMqf,e305e2cab85b4f929234bfdf98d6c6d0,2024-01-27T18:36:11Z,6,,88cfdc7dea214617b903921445f8e06d
spotify:track:4nWDAlLa5FZPWRoMZijVRH,e305e2cab85b4f929234bfdf98d6c6d0,2024-01-27T18:36:11Z,4,,88cfdc7dea214617b903921445f8e06d
spotify:track:5LYMamLv12UPbemOaTPyeV,e305e2cab85b4f929234bfdf98d6c6d0,2024-01-27T18:36:11Z,2,,88cfdc7dea214617b903921445f8e06d
spotify:track:5y2gJVH1AZsfnCON14NF3H,e305e2cab85b4f929234bfdf98d6c6d0,2024-01-27T18:36:11Z,5,,88cfdc7dea214617b903921445f8e06d
spotify:track:6muaqhrGvRop2JyxjwWHhX,e305e2cab85b4f929234bfdf98d6c6d0,2024-01-27T18:36:11Z,3,"okay, i'm kind of seeing it. interesting choice.",88cfdc7dea214617b903921445f8e06d
spotify:track:7BGZ27yeaKR5OZOIxyegZi,e305e2cab85b4f929234bfdf98d6c6d0,2024-01-27T18:36:11Z,5,,88cfdc7dea214617b903921445f8e06d
spotify:track:0jJr8xz3ZZzNM9vq5kpMqf,bdd60b40c4ca4c78a0cbf518560cd06c,2024-01-27T18:48:54Z,2,"feels a little too on the nose, but deserves some points",88cfdc7dea214617b903921445f8e06d
spotify:track:0n1r0U8DiEcO0ekbPN5jQM,bdd60b40c4ca4c78a0cbf518560cd06c,2024-01-27T18:48:54Z,2,"also a little on the nose, but also some points",88cfdc7dea214617b903921445f8e06d
spotify:track:0XvwcZyQdPcPNFBMbIqkN1,bdd60b40c4ca4c78a0cbf518560cd06c,2024-01-27T18:48:54Z,3,I can kinda see it,88cfdc7dea214617b903921445f8e06d
spotify:track:2zYzyRzz6pRmhPzyfMEC8s,bdd60b40c4ca4c78a0cbf518560cd06c,2024-01-27T18:48:54Z,0,Gotta ding this for two reasons: 1) You have to know what we think of AC/DC by now 2) They already use an AC/DC song in the Mario movie.,88cfdc7dea214617b903921445f8e06d
spotify:track:4Nm1WuaXkTq1vT5YLSNVxh,bdd60b40c4ca4c78a0cbf518560cd06c,2024-01-27T18:48:54Z,3,a little it of a stretch but I appreciate it not just being a different video game song,88cfdc7dea214617b903921445f8e06d
spotify:track:4nWDAlLa5FZPWRoMZijVRH,bdd60b40c4ca4c78a0cbf518560cd06c,2024-01-27T18:48:54Z,5,It makes a lot of sense about about one minute in,88cfdc7dea214617b903921445f8e06d
spotify:track:5LYMamLv12UPbemOaTPyeV,bdd60b40c4ca4c78a0cbf518560cd06c,2024-01-27T18:48:54Z,6,"This doesn’t sound like the Strokes! But seriously, this works surprisingly well. Right about 1:05, it's totally Mario Kart.",88cfdc7dea214617b903921445f8e06d
spotify:track:5y2gJVH1AZsfnCON14NF3H,bdd60b40c4ca4c78a0cbf518560cd06c,2024-01-27T18:48:54Z,4,,88cfdc7dea214617b903921445f8e06d
spotify:track:6muaqhrGvRop2JyxjwWHhX,bdd60b40c4ca4c78a0cbf518560cd06c,2024-01-27T18:48:54Z,5,"Yep, I can see it at the end.",88cfdc7dea214617b903921445f8e06d
spotify:track:7BGZ27yeaKR5OZOIxyegZi,bdd60b40c4ca4c78a0cbf518560cd06c,2024-01-27T18:48:54Z,0,I've gotta ding this too. Just picking a different video game OST is not far enough removed for me to give any points.,88cfdc7dea214617b903921445f8e06d
spotify:track:0f1a35ZvjSHvNGRqWIzh9J,5be35bf564744df2a445fae855878c05,2024-01-28T01:22:09Z,3,,88cfdc7dea214617b903921445f8e06d
spotify:track:0n1r0U8DiEcO0ekbPN5jQM,5be35bf564744df2a445fae855878c05,2024-01-28T01:22:09Z,3,,88cfdc7dea214617b903921445f8e06d
spotify:track:0XvwcZyQdPcPNFBMbIqkN1,5be35bf564744df2a445fae855878c05,2024-01-28T01:22:09Z,1,"point just for the song, which was nice ",88cfdc7dea214617b903921445f8e06d
spotify:track:2zYzyRzz6pRmhPzyfMEC8s,5be35bf564744df2a445fae855878c05,2024-01-28T01:22:09Z,1,A little too on the nose ,88cfdc7dea214617b903921445f8e06d
