ID,Created,Name,Description,Playlist URL
170be816555a48ef9fc423b074e2d478,2024-10-12T11:31:15Z,lyrics you’d expect to see as poorly done tattoos (but still good songs!),No intentionally shitty songs! Hard Times Music League is the big leagues.,https://open.spotify.com/playlist/3LifFm3Lyni6MRw0I4bf6H
a0d12a4a6eaf46258eb978a8581affb1,2024-10-18T12:21:22Z,Songs that namecheck other bands/artists,,https://open.spotify.com/playlist/1AC8Yvbs81pkogiqoT6GF2
5c0b865fd3fc4b8581cef6339ca32809,2024-10-23T15:38:14Z,amazing vocal performance (redux) ,"(no obvious answers)
(good song only)",https://open.spotify.com/playlist/5lGcjATk1SeoADWNu4vOiV
54e579b5097e434b833d4123496f7dc9,2024-10-29T03:20:42Z,spooky songs!,"Submit your spookiest song with a max listener count of 50k. Add your listener count to the comments!

No extensions! This will come out so you can listen on Halloween.",https://open.spotify.com/playlist/5LyUT3A63MHrvrvcSStvnD
9f74feb3b6b04a948bfc68dee4de0125,2024-11-02T22:36:20Z,song with a killer first line (lyric),"And of course the evergreen rules: good songs only, no obvious songs ",https://open.spotify.com/playlist/7it96edlv8qcwbfRAUwbCK
394db47db53e41f9a2e198a17d9a081e,2024-11-08T03:18:51Z,"songs that make you feel better, not worse",,https://open.spotify.com/playlist/4bUkpG0eDfl0VJ6aH40rrd
eea4500a7e7f4f5884f99ebe8d49d80b,2024-11-12T14:33:23Z,Some nerd shit,,https://open.spotify.com/playlist/0FZsjz9BQCe6VbyHNrCEYS
b364c0e2216a4fecb0c080628c24a8b7,2024-11-18T14:46:52Z,most rockingest rock song of all of rock time: part 2,"what is the most rockingest rock song of all of rock time?

Just can't be any of these songs from Season 14:
https://open.spotify.com/playlist/6V62QUKtzGGSHOoeMCToY9?trackId=180Glq0E1XVnk8lugjtJu8

(And only good songs, no obvious answers)",https://open.spotify.com/playlist/5g6mkLDtynN6zu3xG06sqv
e1d4aeb7f10b4f2eaf3625f8e72cb35a,2024-11-23T02:54:43Z,Songs that when someone says a sentence or phrase it always makes you think of/sing that particular song,"Good songs only and of course: NOTHING OBVIOUS, ie no Happy Birthday, One Week, All-Star, Ice Ice Baby, Etc.",https://open.spotify.com/playlist/6u9T1xihGEA7snEqpTn2gR
18611d38b46f40c986b305c1484c9052,2024-11-27T13:17:41Z,You probably haven't heard of them,"Artist must be under 4,094 monthly listeners.

https://www.loom.com/share/34fc730092a14a21a1aa9943aeb3fe0e?sid=d61ff6c5-f5c6-4825-8d9f-d4190121c27d",https://open.spotify.com/playlist/2qVPchMvD5wiiSmFc2L6ep
