ID,Created,Name,Description,Playlist URL
772aed90458d4bd4ad5e51aed0c93b1b,2023-11-09T19:47:44Z,Songs that make you feel old as shit,"Think songs with lyrics that make you yearn for youth, or songs celebrating milestone anniversaries that deeply unsettle you.",https://open.spotify.com/playlist/5EI1rkRsj0PB79goDMFJcJ
45e5d95f39f748a4815ae152b38fcabb,2023-11-13T20:22:54Z,song by a band with simultaneously the best and worst band name,,https://open.spotify.com/playlist/7zrxhmuAC24k6rZbsHdd8O
3d78026c0f044c67a9b9dffd20aeff3d,2023-11-16T14:08:28Z,I am free,"Pick a song that you love but have been afraid to submit because you were worried it wouldn't be a voter-getter. 

Voting rules:
Vote for bravery. Vote for a song that might not be the catchy jam that normally stands out in Music League but that you're learning to appreciate. And think like Sam. Was this submission Jeopardy or No Jeopardy? No risk taken? Maybe no jeopardy and no vote!",https://open.spotify.com/playlist/0rFdnqTdqJz9forUsKYsgg
a7a7d1d270d141ff81e73e2bf0aade9c,2023-11-20T03:08:41Z,A song that gives you anxiety but you like it anyway,,https://open.spotify.com/playlist/6WNveqjREbtO81fj8PZdLr
c9298fe357b048ad9d4677605b539a7f,2023-11-25T20:33:16Z,Mind Games Take 2,"You know the drill: use the power of creativity to win yourself votes with your comment. Make up any comment you want.

But this time song pairing matters. Pick a song that supports your comment. ",https://open.spotify.com/playlist/3WF8XMOZigpomNpm0eS3ob
cb42db9c9ef743c2b2d760c46ae0668f,2023-11-28T21:38:49Z,Songs that feel like sipping some hot cocoa while curled up on the couch,,https://open.spotify.com/playlist/2uvLxDt41V7LjK2CbCqFs2
e851afad998e4d648517f899d40ca221,2023-12-02T19:15:12Z,a fun hip hop round: songs you play loudly in traffic to tell everyone else in traffic that you are cool,,https://open.spotify.com/playlist/5ow8zQ63O3Et0mNbQhBa2K
883636885d91435195097411d60d6cd1,2023-12-05T23:05:23Z,Underrated Music Videos,"Submit a YouTube link with your submission 

And remember: no obvious answers ",https://open.spotify.com/playlist/3eaShQlpBNTzyAp6K6bD1L
3890f657d6ef468cbd34262486054994,2023-12-11T02:57:19Z,Feral feminine violence,"""Generally you should be in the mood to join a pride of lionesses to rip a prey animal apart while listening to the song. Righteous anger, sickening grief, or a taste for revenge are all good themes but mostly - does the fem performing sound like they want to kill you? They should!""
",https://open.spotify.com/playlist/19H3iqSprH0FMBn0nshvQl
f7e6ff13219143bc815f1bd9b32b15cf,2023-12-14T04:50:17Z,You probably haven't heard of them: hip hop edition,"Rules:
- Must be hip hop
- Must be under 200k monthly listeners",https://open.spotify.com/playlist/7JtWowlMl6zTm1Uh9xOB0r
