ID,Created,Name,Description,Playlist URL
21b2dbc968d042a197ca12c3dedf8cbc,2024-08-20T02:05:38Z,"""You've probably already heard them""","- Submit an artist that has between 100000 and 500000 monthly listeners
- Can only vote for artists that you have actually listened to (it's no good just to have heard of them)
- Must give at least one vote to every artist you've listened to already",https://open.spotify.com/playlist/2HPgtHLmwAINXKokhvA2Xy
bb714fbd5de8410b87951653c326a7e1,2024-08-26T17:29:02Z,Health food store/farmer’s market vibe songs,,https://open.spotify.com/playlist/550r8nnh7wXBcDouHwGLdX
bbb96d678a4e4585b60984d760e05c80,2024-08-30T13:06:13Z,"pitch a theme for a round in the comments, and then submit a song that nails the theme","points awarded partly for how good the round idea is, and partly for the usual reasons (good song, good fit).",https://open.spotify.com/playlist/4GtcGAsknFTvuDx99eQY1Q
54b10fa336f748778bdbf7beba87d2a4,2024-09-05T12:56:51Z,Pop perfection (but under 100k monthly Spotify listeners),,https://open.spotify.com/playlist/5rpRAiWqlJpJeMiDjRPWwU
121074b866b040688336e73afef36364,2024-09-10T12:52:24Z,Batshit Crazy Covers and Remixes,"renditions of songs that push the envelope so far that all you can say is “wow”

Wndrwll by Neil Cicierega Archive is banned
",https://open.spotify.com/playlist/1nv34DQZCC4ekZy16dRr2F
c177eead454849748f88bdb389b840f8,2024-09-16T13:28:23Z,unusual subject matter for a song,,https://open.spotify.com/playlist/25VNMz67ZaKm85124mFzhU
c153cb4fc9844588b5e5ad39777ac3ff,2024-09-20T14:45:09Z,Submit the song that is currently #1 in your “On Repeat” playlist,"No cheating!
",https://open.spotify.com/playlist/7JgnbIpFDENVbBC523FUy4
1612c9deff884e1f8c6cd1997dc2901e,2024-09-24T20:54:02Z,songs you love to make fun of,"Not necessarily another bad song round, but just songs you like to clown on for being ridiculous.",https://open.spotify.com/playlist/61YME5tHgtttyfArNdotQd
3b9df9a428f646bb8950663a4027957f,2024-09-30T14:11:15Z,Inappropriately upbeat songs for a violent fight scene,,https://open.spotify.com/playlist/1bKvGrZqgXRd7PhpwnEn6H
ff9c8f7941c54ed0bc60ef87cfcc5031,2024-10-05T22:21:08Z,You probably haven't heard of them,"Must be under 1,000 monthly listeners.",https://open.spotify.com/playlist/4jnNXAn8xflgvzfNKG37zP
