Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:7swocJUCUWTCiRUAU9oerC,bdd60b40c4ca4c78a0cbf518560cd06c,2024-08-22T14:02:05Z,1,"Clever pick, we've all heard it I assume",21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:0WprcCQhZuJBU2KR1h8tRh,bdd60b40c4ca4c78a0cbf518560cd06c,2024-08-22T14:02:05Z,0,Never heard 'em,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1K4cB2pZwcQsnZvoHOeHcr,bdd60b40c4ca4c78a0cbf518560cd06c,2024-08-22T14:02:05Z,4,I'm shocked so low. I have to imagine everyone here has listened to Sleater-Kinney at some point.,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1yFgCrFRaaSpsvtIiqe4O8,bdd60b40c4ca4c78a0cbf518560cd06c,2024-08-22T14:02:05Z,2,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:74L1SDDbutAB3ex8VeOPkG,bdd60b40c4ca4c78a0cbf518560cd06c,2024-08-22T14:02:05Z,1,"Another clever pick, hard not to have heard this song. I assume the low listener count because its not available in the US?",21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:6vs1qlgpM4ch0wqz9gPymX,bdd60b40c4ca4c78a0cbf518560cd06c,2024-08-22T14:02:05Z,0,Heard of them but never heard them,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:6TJqm5JsASKBORmCxyt4AA,bdd60b40c4ca4c78a0cbf518560cd06c,2024-08-22T14:02:05Z,1,A point for creativity,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:5FXcqBz3LrM7WCMnWqEeEK,bdd60b40c4ca4c78a0cbf518560cd06c,2024-08-22T14:02:05Z,0,Never heard 'em,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4WaO8txBXmh3XWdXhUsH0Z,bdd60b40c4ca4c78a0cbf518560cd06c,2024-08-22T14:02:05Z,4,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4tRmLrygJc0ZzH5I7U6VMv,bdd60b40c4ca4c78a0cbf518560cd06c,2024-08-22T14:02:05Z,6,I don't know if I'd have made my way to HT without hearing Op Ivy in like 6th grade. Well done.,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4kFfFe38CRVnTsakUTL4E4,bdd60b40c4ca4c78a0cbf518560cd06c,2024-08-22T14:02:05Z,4,I am shocked they are below 500k. well played.,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:3UBDdFbJw8h0zLMaXGftE6,bdd60b40c4ca4c78a0cbf518560cd06c,2024-08-22T14:02:05Z,4,Wild. Heard this MANY times,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:7G5BQ47NKi7AoKvFzP3ouA,bdd60b40c4ca4c78a0cbf518560cd06c,2024-08-22T14:02:05Z,3,Never heard this song but Stuck is a great song,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4kFfFe38CRVnTsakUTL4E4,f0210a760ed4406e838b0b2e03fc2a7e,2024-08-22T19:42:50Z,10,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4tRmLrygJc0ZzH5I7U6VMv,f0210a760ed4406e838b0b2e03fc2a7e,2024-08-22T19:42:50Z,6,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:6TJqm5JsASKBORmCxyt4AA,f0210a760ed4406e838b0b2e03fc2a7e,2024-08-22T19:42:50Z,2,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:6vs1qlgpM4ch0wqz9gPymX,f0210a760ed4406e838b0b2e03fc2a7e,2024-08-22T19:42:50Z,1,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:74L1SDDbutAB3ex8VeOPkG,f0210a760ed4406e838b0b2e03fc2a7e,2024-08-22T19:42:50Z,2,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1K4cB2pZwcQsnZvoHOeHcr,f0210a760ed4406e838b0b2e03fc2a7e,2024-08-22T19:42:50Z,4,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1yFgCrFRaaSpsvtIiqe4O8,f0210a760ed4406e838b0b2e03fc2a7e,2024-08-22T19:42:50Z,2,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:3UBDdFbJw8h0zLMaXGftE6,f0210a760ed4406e838b0b2e03fc2a7e,2024-08-22T19:42:50Z,3,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:74L1SDDbutAB3ex8VeOPkG,58386a2a504f4fd08caed77112bedc82,2024-08-22T22:02:26Z,2,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:7swocJUCUWTCiRUAU9oerC,58386a2a504f4fd08caed77112bedc82,2024-08-22T22:02:26Z,10,Ten points. No notes.,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1K4cB2pZwcQsnZvoHOeHcr,58386a2a504f4fd08caed77112bedc82,2024-08-22T22:02:26Z,2,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1yFgCrFRaaSpsvtIiqe4O8,58386a2a504f4fd08caed77112bedc82,2024-08-22T22:02:26Z,2,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:3UBDdFbJw8h0zLMaXGftE6,58386a2a504f4fd08caed77112bedc82,2024-08-22T22:02:26Z,2,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4kFfFe38CRVnTsakUTL4E4,58386a2a504f4fd08caed77112bedc82,2024-08-22T22:02:26Z,2,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:6TJqm5JsASKBORmCxyt4AA,58386a2a504f4fd08caed77112bedc82,2024-08-22T22:02:26Z,10,Obvs the GOAT gets 10 points,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4kFfFe38CRVnTsakUTL4E4,f4192118aa6049b7bf4aeab8f345d4bf,2024-08-23T00:11:21Z,6,Black Flag has less than 500k?!,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:7swocJUCUWTCiRUAU9oerC,f4192118aa6049b7bf4aeab8f345d4bf,2024-08-23T00:11:21Z,8,Aw yeah,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:7G5BQ47NKi7AoKvFzP3ouA,f4192118aa6049b7bf4aeab8f345d4bf,2024-08-23T00:11:21Z,0,"Probably have heard it, but can’t tell cuz it’s a bit generic sounding.   ",21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:74L1SDDbutAB3ex8VeOPkG,f4192118aa6049b7bf4aeab8f345d4bf,2024-08-23T00:11:21Z,5,Yup have heard this - A LOT,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:5FXcqBz3LrM7WCMnWqEeEK,f4192118aa6049b7bf4aeab8f345d4bf,2024-08-23T00:11:21Z,6,I jammed Let the Mystery Be hard after watching the Leftovers in 2020. It kinda became my Pandemic anthem 🫣,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4WaO8txBXmh3XWdXhUsH0Z,f4192118aa6049b7bf4aeab8f345d4bf,2024-08-23T00:11:21Z,0,No clue,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4tRmLrygJc0ZzH5I7U6VMv,f4192118aa6049b7bf4aeab8f345d4bf,2024-08-23T00:11:21Z,1,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1BqJIsOlo8rpm6FJ5N8VtJ,f4192118aa6049b7bf4aeab8f345d4bf,2024-08-23T00:11:21Z,0,Never knowingly listened to them lol. ,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:3UBDdFbJw8h0zLMaXGftE6,f4192118aa6049b7bf4aeab8f345d4bf,2024-08-23T00:11:21Z,0,Nope. ,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1yFgCrFRaaSpsvtIiqe4O8,f4192118aa6049b7bf4aeab8f345d4bf,2024-08-23T00:11:21Z,1,"I was thinking of the band Duster for a sec haha. 

This band and song are familiar, but no distinct memory of listening to their music.  ",21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1K4cB2pZwcQsnZvoHOeHcr,f4192118aa6049b7bf4aeab8f345d4bf,2024-08-23T00:11:21Z,3,Haven’t listened to them much. ,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:0WprcCQhZuJBU2KR1h8tRh,f4192118aa6049b7bf4aeab8f345d4bf,2024-08-23T00:11:21Z,0,Never heard of them 🤷🏻‍♂️ Never knowingly listened to them either. ,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:74L1SDDbutAB3ex8VeOPkG,d16b02d16f77415da273094af63d462e,2024-08-23T01:03:21Z,1,I am obliged to give one point. I give it bitterly.,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:7swocJUCUWTCiRUAU9oerC,d16b02d16f77415da273094af63d462e,2024-08-23T01:03:21Z,2,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1BqJIsOlo8rpm6FJ5N8VtJ,d16b02d16f77415da273094af63d462e,2024-08-23T01:03:21Z,7,Menzingers have been one of those weird bands for me for a long time where every time I hear them it's super great but then for some reason I never start listening regularly.,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1K4cB2pZwcQsnZvoHOeHcr,d16b02d16f77415da273094af63d462e,2024-08-23T01:03:21Z,8,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:3UBDdFbJw8h0zLMaXGftE6,d16b02d16f77415da273094af63d462e,2024-08-23T01:03:21Z,0,"This has reaffirmed my commitment to avoid Saves the Day despite them sort of innately being in my sphere of interest, thank you 🙏🙏🙏",21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4kFfFe38CRVnTsakUTL4E4,d16b02d16f77415da273094af63d462e,2024-08-23T01:03:21Z,6,Yeah ok,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4tRmLrygJc0ZzH5I7U6VMv,d16b02d16f77415da273094af63d462e,2024-08-23T01:03:21Z,6,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4WaO8txBXmh3XWdXhUsH0Z,d16b02d16f77415da273094af63d462e,2024-08-23T01:03:21Z,0,"Flawless, objectively correct submission, one million points",21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:5FXcqBz3LrM7WCMnWqEeEK,d16b02d16f77415da273094af63d462e,2024-08-23T01:03:21Z,0,Fuck I wish I could vote for this. This shit is crazy.,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:6TJqm5JsASKBORmCxyt4AA,d16b02d16f77415da273094af63d462e,2024-08-23T01:03:21Z,0,"Yeah, okay, so now I have to admit to never having watched Twin Peaks? This round is fucked up",21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:3UBDdFbJw8h0zLMaXGftE6,1dacffd0545140b2970d73e29fe6cf33,2024-08-23T12:46:18Z,5,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1BqJIsOlo8rpm6FJ5N8VtJ,1dacffd0545140b2970d73e29fe6cf33,2024-08-23T12:46:18Z,4,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1K4cB2pZwcQsnZvoHOeHcr,1dacffd0545140b2970d73e29fe6cf33,2024-08-23T12:46:18Z,4,"This was my first choice, I just didn't get to it fast enough",21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:1yFgCrFRaaSpsvtIiqe4O8,1dacffd0545140b2970d73e29fe6cf33,2024-08-23T12:46:18Z,1,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4tRmLrygJc0ZzH5I7U6VMv,1dacffd0545140b2970d73e29fe6cf33,2024-08-23T12:46:18Z,3,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:4WaO8txBXmh3XWdXhUsH0Z,1dacffd0545140b2970d73e29fe6cf33,2024-08-23T12:46:18Z,4,,21b2dbc968d042a197ca12c3dedf8cbc
spotify:track:5FXcqBz3LrM7WCMnWqEeEK,1dacffd0545140b2970d73e29fe6cf33,2024-08-23T12:46:18Z,1,,21b2dbc968d042a197ca12c3dedf8cbc
