ID,Created,Name,Description,Playlist URL
53fa87d179cb46c7b4d512e93f0efea9,2024-03-11T23:30:50Z,Your Wrestling Entrance Music (redux),"Sam's rules: I want to hear ring names, personas, finishing moves etc in the comments",https://open.spotify.com/playlist/6Ab1tObjFgkFDHN7CODePU
25f7bfbb91844a73a22550ce2a3f48d5,2024-03-18T00:04:07Z,Best vibe fit music video,Submit a YouTube link with your song. The best visual vibe fit for the song. No obvious choices.,https://open.spotify.com/playlist/7BG7SAzq5vwxTUkoFForYv
090eaadc46214b1e8cc63c42b06462c7,2024-03-22T12:14:07Z,"""How did I not know this song existed?""","a song by a fairly well-known band that is weird, or out-of-character, or a surprising collab etc, but which isn't well known (extra votes if you haven't heard it)",https://open.spotify.com/playlist/62FtBQekxVHOPEYhq7AVj5
c24f1cd4576e4b16aae5270710d4c644,2024-03-28T12:24:07Z,songs about animals,"not animal body parts, just songs bout animals

and unfortunately virtute, the cat is banned. (this is only to stop myself.)",https://open.spotify.com/playlist/09ZuUrdjn5xmPjsOJpInVG
5804b8d41f8c41ef9ab92f67c0fbdd98,2024-04-03T02:20:26Z,You probably haven’t heard this cover,Cover songs by bands that have less than 50k monthly listeners,https://open.spotify.com/playlist/193FZwc5WHsILxnNVty2Hk
26293cd6ad254dd895e38c04e5369829,2024-04-08T13:30:50Z,guest submission redux,Hand your phone to a partner/family member/friend. Tell us about them in the comments.,https://open.spotify.com/playlist/0T7zwKt0nAsVgVRLZhqFwi
d49c47a05b9743c1b62ca1463a79fc42,2024-04-12T01:47:14Z,A song that is the equivalent of a Saturday morning bowl of cereal,"A song that evokes the feeling of waking up on a Saturday with no work, pouring yourself a bowl of cereal, and just vibing with the morning. Tell us what cereal you're having.",https://open.spotify.com/playlist/4Ae61kYo8y24MeumRGFpml
03df42685b72495dbc1a0939e3852483,2024-04-16T12:53:23Z,Song with a surprise,"This one is a little more open to interpretation than other rounds. For comments, you might want to provide a timestamp or hint at the type of surprise. Definitely don't walk us through the surprise in detail.",https://open.spotify.com/playlist/4F2qNz2yRDIgw0R5PK4yPE
dc547a40a05a4e6aba6dd291a8a3bb41,2024-04-22T13:10:56Z,A Song That Just Came Out That Isn’t Taylor Swift,Submit a song released in the last few weeks... that isn't T Swift.,https://open.spotify.com/playlist/07B1aJKVGnnj0t8B4XouGW
355488a5fb8b47a7aed6dd8372eb2aa5,2024-04-29T13:13:45Z,"""You Wouldn't Have Heard of Them"" Classic",Choose a great song that you think we won't have heard (voting rule - if you've heard the band before then you can't give it any votes. If you've only heard OF the band... you can vote.),https://open.spotify.com/playlist/18JV4EFi7udn8obSREvTQJ
